[Tue May 19 13:45:12 2026] Server Stop
[Tue May 19 13:45:12 2026] Server Start
[Tue May 19 13:45:51 2026] User Connect: маша
[Tue May 19 13:46:08 2026] User Connect: паша
[Tue May 19 13:46:24 2026] User Connect: артем
[Tue May 19 13:48:34 2026] User Disconnect: артем
[Tue May 19 13:48:35 2026] User Disconnect: паша
[Tue May 19 13:48:37 2026] User Disconnect: маша
[Tue May 19 13:48:42 2026] User Connect: маша
[Tue May 19 13:48:48 2026] User Connect: паша
[Tue May 19 13:48:57 2026] User Connect: артем
[Tue May 19 13:50:20 2026] User Disconnect: артем
[Tue May 19 13:50:23 2026] User Disconnect: паша
[Tue May 19 13:50:27 2026] User Disconnect: маша
